episode_id,partition,label,campaign_id,entity_ip,window_end_utc,history_coverage_s,eligible_training,packet_count_10s,flow_attempt_count_30s,syn_count_10s,http_request_count_60s,dns_query_count_60s,tcp_data_segment_count_10s,tls_observation_count_60s,packet_rate_10s,byte_rate_10s,mean_ip_len_10s,large_ip_ratio_10s,unique_dst_ip_ratio_30s,icmp_ratio_10s,flow_attempt_rate_10s,syn_rate_10s,syn_completion_ratio_10s,rst_ratio_10s,unique_dst_port_ratio_30s,http_error_ratio_60s,dns_nxdomain_ratio_60s,tls_session_rate_60s,ttl_mean_10s,fragment_ratio_10s,protocol_diversity_30s,tcp_retransmission_ratio_10s,flow_duration_mean_30s,tx_rx_byte_ratio_30s,http_request_rate_60s,http_method_entropy_60s,http_auth_failure_ratio_60s,dns_query_rate_60s,unique_dns_name_ratio_60s,tls_handshake_failure_ratio_60s,tls_version_ratio_60s,http_status_5xx_ratio_60s
F2A-ANOM-AUTH-FAIL-50-E01-B,evaluation_only,anomaly,F2A-ANOM-AUTH-FAIL-50-E01-B,10.20.0.20,2026-08-13T19:25:50+00:00,60.00000000,True,90,9,9,9,0,18,0,9.00000000,858.60000000,95.40000000,0.00000000,0.11111111,0.00000000,0.90000000,0.90000000,1.00000000,0.00000000,0.11111111,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.01111111,0.00000000,0.00574183,0.53354298,0.15000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2A-ANOM-AUTH-FAIL-50-E01-B,evaluation_only,anomaly,F2A-ANOM-AUTH-FAIL-50-E01-B,10.20.0.20,2026-08-13T19:26:00+00:00,60.00000000,True,410,50,41,50,0,82,0,41.00000000,3911.40000000,95.40000000,0.00000000,0.02000000,0.00000000,4.10000000,4.10000000,1.00000000,0.00000000,0.02000000,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00200000,0.00000000,0.01163793,0.53354298,0.83333333,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2A-ANOM-AUTH-FAIL-50-E02-B,evaluation_only,anomaly,F2A-ANOM-AUTH-FAIL-50-E02-B,10.20.0.20,2026-08-13T23:40:30+00:00,60.00000000,True,340,34,34,34,0,68,0,34.00000000,3243.60000000,95.40000000,0.00000000,0.02941176,0.00000000,3.40000000,3.40000000,1.00000000,0.00000000,0.02941176,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00294118,0.00000000,0.01225495,0.53354298,0.56666667,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2A-ANOM-AUTH-FAIL-50-E02-B,evaluation_only,anomaly,F2A-ANOM-AUTH-FAIL-50-E02-B,10.20.0.20,2026-08-13T23:40:40+00:00,60.00000000,True,160,50,16,50,0,32,0,16.00000000,1526.40000000,95.40000000,0.00000000,0.02000000,0.00000000,1.60000000,1.60000000,1.00000000,0.00000000,0.02000000,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00200000,0.00000000,0.01225495,0.53354298,0.83333333,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2A-ANOM-AUTH-FAIL-50-E03-B,evaluation_only,anomaly,F2A-ANOM-AUTH-FAIL-50-E03-B,10.20.0.20,2026-08-13T23:44:40+00:00,60.00000000,True,500,50,50,50,0,100,0,50.00000000,4770.00000000,95.40000000,0.00000000,0.02000000,0.00000000,5.00000000,5.00000000,1.00000000,0.00000000,0.02000000,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00200000,0.00000000,0.02001786,0.53354298,0.83333333,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2A-ANOM-AUTH-FAIL-50-E04-B,evaluation_only,anomaly,F2A-ANOM-AUTH-FAIL-50-E04-B,10.20.0.20,2026-08-13T23:48:50+00:00,60.00000000,True,500,50,50,50,0,100,0,50.00000000,4770.00000000,95.40000000,0.00000000,0.02000000,0.00000000,5.00000000,5.00000000,1.00000000,0.00000000,0.02000000,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00200000,0.00000000,0.03199196,0.53354298,0.83333333,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2A-ANOM-DNS-NX-200-E01-B,evaluation_only,anomaly,F2A-ANOM-DNS-NX-200-E01-B,10.20.0.20,2026-08-13T19:24:30+00:00,60.00000000,True,356,178,0,0,178,0,0,35.60000000,3040.00000000,85.39325843,0.00000000,0.00561798,0.00000000,17.80000000,0.00000000,0.00000000,0.00000000,0.00561798,0.00000000,1.00000000,0.00000000,63.50000000,0.00000000,0.00280899,0.00000000,0.00214601,0.53513158,0.00000000,0.00000000,0.00000000,2.96666667,1.00000000,0.00000000,0.00000000,0.00000000
F2A-ANOM-DNS-NX-200-E01-B,evaluation_only,anomaly,F2A-ANOM-DNS-NX-200-E01-B,10.20.0.20,2026-08-13T19:24:40+00:00,60.00000000,True,44,200,0,0,200,0,0,4.40000000,378.40000000,86.00000000,0.00000000,0.00500000,0.00000000,2.20000000,0.00000000,0.00000000,0.00000000,0.00500000,0.00000000,1.00000000,0.00000000,63.50000000,0.00000000,0.00250000,0.00000000,0.00214601,0.53510414,0.00000000,0.00000000,0.00000000,3.33333333,1.00000000,0.00000000,0.00000000,0.00000000
F2A-ANOM-DNS-NX-200-E02-B,evaluation_only,anomaly,F2A-ANOM-DNS-NX-200-E02-B,10.20.0.20,2026-08-13T23:39:10+00:00,60.00000000,True,386,192,0,0,193,0,0,38.60000000,3298.00000000,85.44041451,0.00000000,0.00520833,0.00000000,19.20000000,0.00000000,0.00000000,0.00000000,0.00520833,0.00000000,1.00000000,0.00000000,63.50000000,0.00000000,0.00259067,0.00000000,0.19423985,0.53511219,0.00000000,0.00000000,0.00000000,3.21666667,1.00000000,0.00000000,0.00000000,0.00000000
F2A-ANOM-DNS-NX-200-E02-B,evaluation_only,anomaly,F2A-ANOM-DNS-NX-200-E02-B,10.20.0.20,2026-08-13T23:39:20+00:00,60.00000000,True,14,199,0,0,200,0,0,1.40000000,120.40000000,86.00000000,0.00000000,0.00502513,0.00000000,0.70000000,0.00000000,0.00000000,0.00000000,0.00502513,0.00000000,1.00000000,0.00000000,63.50000000,0.00000000,0.00250000,0.00000000,0.19423985,0.53510414,0.00000000,0.00000000,0.00000000,3.33333333,1.00000000,0.00000000,0.00000000,0.00000000
