episode_id,partition,label,campaign_id,entity_ip,window_end_utc,history_coverage_s,eligible_training,packet_count_10s,flow_attempt_count_30s,syn_count_10s,http_request_count_60s,dns_query_count_60s,tcp_data_segment_count_10s,tls_observation_count_60s,packet_rate_10s,byte_rate_10s,mean_ip_len_10s,large_ip_ratio_10s,unique_dst_ip_ratio_30s,icmp_ratio_10s,flow_attempt_rate_10s,syn_rate_10s,syn_completion_ratio_10s,rst_ratio_10s,unique_dst_port_ratio_30s,http_error_ratio_60s,dns_nxdomain_ratio_60s,tls_session_rate_60s,ttl_mean_10s,fragment_ratio_10s,protocol_diversity_30s,tcp_retransmission_ratio_10s,flow_duration_mean_30s,tx_rx_byte_ratio_30s,http_request_rate_60s,http_method_entropy_60s,http_auth_failure_ratio_60s,dns_query_rate_60s,unique_dns_name_ratio_60s,tls_handshake_failure_ratio_60s,tls_version_ratio_60s,http_status_5xx_ratio_60s
F2N-API-5XX-V2-R01-B,train,normal,F2N-API-5XX-V2-R01-B,10.20.0.20,2026-08-15T04:07:50+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1666.90000000,83.34500000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,0.30000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.02363896,0.51682764,0.33333333,1.70600758,0.15000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15000000
F2N-API-5XX-V2-R02,train,normal,F2N-API-5XX-V2-R02,10.20.0.20,2026-08-15T04:45:10+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1666.90000000,83.34500000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,0.30000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.02326202,0.51682764,0.33333333,1.70600758,0.15000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15000000
F2N-API-5XX-V2-R03,train,normal,F2N-API-5XX-V2-R03,10.20.0.20,2026-08-15T04:48:10+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1666.90000000,83.34500000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,0.30000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.01417780,0.51682764,0.33333333,1.70600758,0.15000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15000000
F2N-API-5XX-V2-R04,validation,normal,F2N-API-5XX-V2-R04,10.20.0.20,2026-08-15T04:51:10+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1666.90000000,83.34500000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,0.30000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.00857902,0.51682764,0.33333333,1.70600758,0.15000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15000000
F2N-API-5XX-V2-R05,test,normal,F2N-API-5XX-V2-R05,10.20.0.20,2026-08-15T04:54:10+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1666.90000000,83.34500000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,0.30000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.00401211,0.51682764,0.33333333,1.70600758,0.15000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15000000
F2N-API-AUTH-FAIL-20-R01-B,train,normal,F2N-API-AUTH-FAIL-20-R01-B,10.20.0.20,2026-08-13T08:20:40+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1908.00000000,95.40000000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.01328588,0.53354298,0.33333333,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2N-API-AUTH-FAIL-20-R02-B,train,normal,F2N-API-AUTH-FAIL-20-R02-B,10.20.0.20,2026-08-13T16:39:00+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1908.00000000,95.40000000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.01673508,0.53354298,0.33333333,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2N-API-AUTH-FAIL-20-R03-B,train,normal,F2N-API-AUTH-FAIL-20-R03-B,10.20.0.20,2026-08-13T17:10:40+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1908.00000000,95.40000000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.00997901,0.53354298,0.33333333,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2N-API-AUTH-FAIL-20-R04-B,validation,normal,F2N-API-AUTH-FAIL-20-R04-B,10.20.0.20,2026-08-13T17:42:10+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1908.00000000,95.40000000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.01176000,0.53354298,0.33333333,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
F2N-API-AUTH-FAIL-20-R05-B,test,normal,F2N-API-AUTH-FAIL-20-R05-B,10.20.0.20,2026-08-13T18:13:50+00:00,60.00000000,True,200,20,20,20,0,40,0,20.00000000,1908.00000000,95.40000000,0.00000000,0.05000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.05000000,1.00000000,0.00000000,0.00000000,63.60000000,0.00000000,0.00500000,0.00000000,0.02182603,0.53354298,0.33333333,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
